OBJECTID,DATE,Howard
1,2020/03/15 10:00:00+00,0
2,2020/03/16 10:00:00+00,1
3,2020/03/17 10:00:00+00,2
4,2020/03/18 10:00:00+00,5
5,2020/03/19 10:00:00+00,8
6,2020/03/20 10:00:00+00,2
7,2020/03/21 10:00:00+00,1
8,2020/03/22 10:00:00+00,5
9,2020/03/23 10:00:00+00,2
10,2020/03/24 10:00:00+00,4
11,2020/03/25 10:00:00+00,5
12,2020/03/26 10:00:00+00,14
13,2020/03/27 10:00:00+00,13
14,2020/03/28 10:00:00+00,11
15,2020/03/29 10:00:00+00,8
16,2020/03/30 10:00:00+00,15
17,2020/03/31 10:00:00+00,21
18,2020/04/01 10:00:00+00,25
19,2020/04/02 10:00:00+00,10
20,2020/04/03 10:00:00+00,14
21,2020/04/04 10:00:00+00,14
22,2020/04/05 10:00:00+00,19
23,2020/04/06 10:00:00+00,15
24,2020/04/07 10:00:00+00,22
25,2020/04/08 10:00:00+00,38
26,2020/04/09 10:00:00+00,25
27,2020/04/10 10:00:00+00,20
28,2020/04/11 10:00:00+00,32
29,2020/04/12 10:00:00+00,20
30,2020/04/13 10:00:00+00,15
31,2020/04/14 10:00:00+00,17
32,2020/04/15 10:00:00+00,21
33,2020/04/16 10:00:00+00,27
34,2020/04/17 10:00:00+00,24
35,2020/04/18 10:00:00+00,33
36,2020/04/19 10:00:00+00,7
37,2020/04/20 10:00:00+00,23
38,2020/04/21 10:00:00+00,27
39,2020/04/22 10:00:00+00,27
40,2020/04/23 10:00:00+00,26
41,2020/04/24 10:00:00+00,24
42,2020/04/25 10:00:00+00,44
43,2020/04/26 10:00:00+00,21
44,2020/04/27 10:00:00+00,71
45,2020/04/28 10:00:00+00,24
46,2020/04/29 10:00:00+00,29
47,2020/04/30 10:00:00+00,36
48,2020/05/01 10:00:00+00,29
49,2020/05/02 10:00:00+00,35
50,2020/05/03 10:00:00+00,38
51,2020/05/04 10:00:00+00,23
52,2020/05/05 10:00:00+00,18
53,2020/05/06 10:00:00+00,51
54,2020/05/07 10:00:00+00,37
55,2020/05/08 10:00:00+00,40
56,2020/05/09 10:00:00+00,32
57,2020/05/10 10:00:00+00,35
58,2020/05/11 10:00:00+00,18
59,2020/05/12 10:00:00+00,11
60,2020/05/13 10:00:00+00,24
61,2020/05/14 10:00:00+00,27
62,2020/05/15 10:00:00+00,28
63,2020/05/16 10:00:00+00,39
64,2020/05/17 10:00:00+00,26
65,2020/05/18 10:00:00+00,38
66,2020/05/19 10:00:00+00,49
67,2020/05/20 10:00:00+00,29
68,2020/05/21 10:00:00+00,54
69,2020/05/22 10:00:00+00,38
70,2020/05/23 10:00:00+00,52
71,2020/05/24 10:00:00+00,29
72,2020/05/25 10:00:00+00,49
73,2020/05/26 10:00:00+00,16
74,2020/05/27 10:00:00+00,28
75,2020/05/28 10:00:00+00,55
76,2020/05/29 10:00:00+00,53
77,2020/05/30 10:00:00+00,37
78,2020/05/31 10:00:00+00,23
79,2020/06/01 10:00:00+00,16
80,2020/06/02 10:00:00+00,31
81,2020/06/03 10:00:00+00,29
82,2020/06/04 10:00:00+00,29
83,2020/06/05 10:00:00+00,41
84,2020/06/06 10:00:00+00,20
85,2020/06/07 10:00:00+00,31
86,2020/06/08 10:00:00+00,31
87,2020/06/09 10:00:00+00,35
88,2020/06/10 10:00:00+00,29
89,2020/06/11 10:00:00+00,91
90,2020/06/12 10:00:00+00,21
91,2020/06/13 10:00:00+00,39
92,2020/06/14 10:00:00+00,-36
93,2020/06/15 10:00:00+00,15
94,2020/06/16 10:00:00+00,-23
95,2020/06/17 10:00:00+00,16
96,2020/06/18 10:00:00+00,5
97,2020/06/19 10:00:00+00,34
98,2020/06/20 10:00:00+00,27
99,2020/06/21 10:00:00+00,14
100,2020/06/22 10:00:00+00,13
101,2020/06/23 10:00:00+00,-13
102,2020/06/24 10:00:00+00,13
103,2020/06/25 10:00:00+00,17
104,2020/06/26 10:00:00+00,17
105,2020/06/27 10:00:00+00,20
106,2020/06/28 10:00:00+00,11
107,2020/06/29 10:00:00+00,26
108,2020/06/30 10:00:00+00,11
109,2020/07/01 10:00:00+00,30
110,2020/07/02 10:00:00+00,34
